match_id,game_id,match_date,team1_name,team2_name,partner1,partner2,opponent1,opponent2,team1_points,team2_points
15631,1,2025-03-18,WPCC Pickled Pink (PM),7OAKS Late Night Kitchen (PM),Mary Casson,Nancy Page,Olga DeGroff,Michelle Vedder,2,15
15631,2,2025-03-18,WPCC Pickled Pink (PM),7OAKS Late Night Kitchen (PM),Courtney McKim,April Haas,Jeanette Gerould,Danielle Stringer,15,4
15631,3,2025-03-18,WPCC Pickled Pink (PM),7OAKS Late Night Kitchen (PM),Lori Parkman,Stacey Giglio,Ann Willard,Karen Southern,15,4
15631,4,2025-03-18,WPCC Pickled Pink (PM),7OAKS Late Night Kitchen (PM),Mary Casson,Nancy Page,Jeanette Gerould,Danielle Stringer,2,15
15631,5,2025-03-18,WPCC Pickled Pink (PM),7OAKS Late Night Kitchen (PM),Courtney McKim,April Haas,Ann Willard,Karen Southern,15,10
15631,6,2025-03-18,WPCC Pickled Pink (PM),7OAKS Late Night Kitchen (PM),Lori Parkman,Stacey Giglio,Olga DeGroff,Michelle Vedder,4,15
15631,7,2025-03-18,WPCC Pickled Pink (PM),7OAKS Late Night Kitchen (PM),Mary Casson,Nancy Page,Ann Willard,Karen Southern,15,8
15631,8,2025-03-18,WPCC Pickled Pink (PM),7OAKS Late Night Kitchen (PM),Courtney McKim,April Haas,Olga DeGroff,Michelle Vedder,4,15
15631,9,2025-03-18,WPCC Pickled Pink (PM),7OAKS Late Night Kitchen (PM),Lori Parkman,Stacey Giglio,Jeanette Gerould,Danielle Stringer,15,4
15632,1,2025-03-18,BCCC Dinkin Buddies (PM),HASEN Made Ya Dink!! (PM),Helen Ryan,Kristen DiMillio Howering,Betsy Perkinson,Jennifer Lynn Bouck,15,8
15632,2,2025-03-18,BCCC Dinkin Buddies (PM),HASEN Made Ya Dink!! (PM),Bobbie Ann west,Kathleen Burns,Janet Hammond,Sharon Louise Lambe,4,15
15632,3,2025-03-18,BCCC Dinkin Buddies (PM),HASEN Made Ya Dink!! (PM),Rachel DeNorchia,Anne Redmond,Emily Rubin,Melinda White Coutts,6,15
15632,4,2025-03-18,BCCC Dinkin Buddies (PM),HASEN Made Ya Dink!! (PM),Helen Ryan,Kristen DiMillio Howering,Janet Hammond,Sharon Louise Lambe,15,7
15632,5,2025-03-18,BCCC Dinkin Buddies (PM),HASEN Made Ya Dink!! (PM),Bobbie Ann west,Kathleen Burns,Emily Rubin,Melinda White Coutts,7,15
15632,6,2025-03-18,BCCC Dinkin Buddies (PM),HASEN Made Ya Dink!! (PM),Rachel DeNorchia,Anne Redmond,Betsy Perkinson,Jennifer Lynn Bouck,1,15
15632,7,2025-03-18,BCCC Dinkin Buddies (PM),HASEN Made Ya Dink!! (PM),Helen Ryan,Kristen DiMillio Howering,Emily Rubin,Melinda White Coutts,15,4
15632,8,2025-03-18,BCCC Dinkin Buddies (PM),HASEN Made Ya Dink!! (PM),Bobbie Ann west,Kathleen Burns,Betsy Perkinson,Jennifer Lynn Bouck,15,13
15632,9,2025-03-18,BCCC Dinkin Buddies (PM),HASEN Made Ya Dink!! (PM),Rachel DeNorchia,Anne Redmond,Janet Hammond,Sharon Louise Lambe,1,15
15633,1,2025-03-19,7OAKS SPRING PEEPS (AM),WPCC Dinking Divas (PM),Sherry Lynn Goodson,Victoria Bell,Leigh Kimball,Dane Hewett Brackett,15,6
15633,2,2025-03-19,7OAKS SPRING PEEPS (AM),WPCC Dinking Divas (PM),MaryJo Caldwell,Bethany Upton Squires,Cathy Werder,Louella M Venable,15,9
15633,3,2025-03-19,7OAKS SPRING PEEPS (AM),WPCC Dinking Divas (PM),Ada Gonzalez,Linda Nuxoll,Gina Myers,Jane Stutzman,15,3
15633,4,2025-03-19,7OAKS SPRING PEEPS (AM),WPCC Dinking Divas (PM),Sherry Lynn Goodson,Victoria Bell,Cathy Werder,Louella M Venable,15,7
15633,5,2025-03-19,7OAKS SPRING PEEPS (AM),WPCC Dinking Divas (PM),MaryJo Caldwell,Bethany Upton Squires,Gina Myers,Jane Stutzman,15,3
15633,6,2025-03-19,7OAKS SPRING PEEPS (AM),WPCC Dinking Divas (PM),Ada Gonzalez,Linda Nuxoll,Leigh Kimball,Dane Hewett Brackett,10,15
